API,API,
Accepted,hyväksytyt,
Accounts User,Talouden peruskäyttäjä,
Action,Toiminto,
Actions,Toiminnot,
Active,aktiivinen,
Actual Cost,Todellinen kustannus,
Actual End Date,todellinen päättymispäivä,
Actual Start Date,todellinen aloituspäivä,
All,Kaikki,
Amended From,Korjattu mistä,
Amount,Summa,
Approved,hyväksytty,
Archive,Archive,
Archived,Arkistoidut,
Assigned To,nimetty,
Attachments,Liitteet,
Available,saatavissa,
Brand,brändi,
Buying Price List,Ostohinta,
Cancel,Peru,
Canceled,peruttu,
Cancelled,peruttu,
Category,Luokka,
Category Name,luokittelun nimi,
Check,Tarkistaa,
Client,Asiakas,
Close,Sulje,
Closed,suljettu,
Color,väri,
Comment,Kommentti,
Comments,Kommentit,
Company,Yritys,
Complete,Täydellinen,
Completed,valmistunut,
Component,komponentti,
Condition,ehto,
Contact,Yhteyshenkilö,
Contact Email,"yhteystiedot, sähköposti",
Contact Phone,Yhteyspuhelinnumero,
Conversion Rate,Muuntokurssi,
Created On,Luotu,
Currency,Valuutta,
Current Status,nykyinen tila,
Custom,Mukautettu,
Customer,asiakas,
Customer ID,Asiakas ID,
Customer Name,Asiakkaan nimi,
Customer Type,asiakastyyppi,
Data,tiedot,
Date,Päiväys,
Default,oletus,
Default Company,oletus yritys,
Default Item Group,oletus tuoteryhmä,
Default Priority,Oletusprioriteetti,
Default Source Warehouse,Varastosta (oletus),
Default Value,oletus arvo,
Defaults,oletukset,
Delayed,myöhässä,
Delivered,toimitettu,
Depends On,riippuu,
Description,Kuvaus,
Desk,pöytä,
Discount (%),Alennus (%),
Discount Amount,alennus arvomäärä,
Discount Type,Alennustyyppi,
Document Name,Dokumentin nimi,
Document Type,Dokumenttityyppi,
Draft,Laatia,
Due Date,eräpäivä,
Email,Sähköpostiosoite,
Email Address,Sähköpostiosoite,
Enabled,Aktiivinen,
Error,virhe,
Estimated Cost,Kustannusarvio,
Expected End Date,Odotettu päättymispäivä,
Expected Start Date,odotettu aloituspäivä,
Expired,vanhentunut,
Failed,Epäonnistui,
Field Type,Kentän tyyppi,
First Name,Etunimi,
Float,Kellunta,
From Date,Päivästä,
Full Name,Koko nimi,
Grand Total,Kokonaissumma,
Hidden,kätketty,
High,korkeus,
Hold,pidä,
Hours,tuntia,
Idx,IDX,
In List View,luettelonäkymänä,
In Progress,Käynnissä,
In Transit,Matkalla,
Inactive,Epäaktiivinen,
Inspected By,tarkastanut,
Inspection Type,tarkistus tyyppi,
Int,kokonaisluku,
Inventory,inventaario,
Is Active,aktiivinen,
Is Group,on ryhmä,
Issue,Tukipyyntö,
Issued,liitetty,
Item,Nimike,
Item Code,Nimikekoodi,
Item Name,Tuotteen nimi,
Items,Nimikkeet,
Key,Näppäin,
Keyboard Shortcuts,Pikanäppäimet,
Lab Technician,Laboratorio teknikko,
Last Active,Paikalla,
Last Name,Sukunimi,
Location,Sijainti,
Logs,Lokit,
Lost,Hävitty,
Low,Alhainen,
Maintenance,huolto,
Manufacturer,Valmistaja,
Medium,Keskikokoinen,
Method,Menetelmä,
Model,Malli,
Modified By,Muokkaaja,
Name,Nimi,
Naming Series,Nimeä sarjat,
New,Uusi,
Notes,Muistiinpanot,
On Hold,Pidossa,
Open,Avoin,
Operation,Toiminta,
Other,muut,
Overdue,Myöhässä,
Owner,Omistaja,
Parameter,Parametri,
Parent Task,Vanhempien tehtävä,
Passed,Hyväksytty,
Pending,Odottaa,
Pending Review,Odottaa näkymä,
Percent Complete,Prosenttiosuus on täydellinen,
Percentage,Prosentti,
Phone,Puhelin,
Phone Number,Puhelinnumero,
Planning,Suunnittelu,
Portal,Portaali,
Posting Date,Tositepäivä,
Priority,prioriteetti,
Progress,Edistyminen,
Purchase,Osto,
Purchase Date,Ostopäivä,
Purchase Order,Ostotilaus,
Purchase Receipt,Saapuminen,
Qty,Yksikkömäärä,
Quantity,Määrä,
Rate,Hinta,
Rating,luokitus,
Read Only,Vain luku,
Reason,Syy,
Received,Vastaanotettu,
Reference,Viite,
Reference DocType,Viite DocType,
Reference Doctype,Viite-tietuetyyppi,
Reference Name,Viitenimi,
Rejected,Hylätty,
Reload,Päivitä,
Remarks,Huomautukset,
Reopen,Avaa uudestaan,
Resolve,Ratkaista,
Resolved,Ratkaistu,
Restore,Palauttaa,
Rounded Total,yhteensä pyöristettynä,
SMS,Tekstiviesti,
Sales,Myynti,
Sales Manager,Myynnin ylläpitäjä,
Sales User,Myynnin peruskäyttäjä,
Scheduled,Aikataulutettu,
Scheduled Date,"Aikataulutettu, päivä",
Section,Osa,
Selling Price List,Myynnin hinnasto,
Serial No,Sarjanumero,
Session Defaults,Istunnon oletukset,
Setup,Asetukset,
Shipping,Toimitus,
Signature,Allekirjoitus,
Signed,allekirjoitettu,
Signed On,Allekirjoitettu,
Small Text,Pieni teksti,
Sold,myyty,
Source DocType,Lähde DocType,
Source Warehouse,Varastosta,
Standard,perus,
Start,alku,
Status,Tila,
