API,API,
Accepted,Chấp nhận,
Accounts User,Người dùng kế toán,
Action,thao tác,
Actions,Các thao tác,
Active,có hiệu lực,
Actual Cost,Giá thật,
Actual End Date,Ngày kết thúc thực tế,
Actual Start Date,Ngày bắt đầu thực tế,
All,Tất cả,
Amended From,Sửa đổi Từ,
Amount,Giá trị,
Approved,Đã được phê duyệt,
Archive,lưu trữ,
Archived,Lưu trữ,
Assigned To,Để giao,
Attachments,File đính kèm,
Available,Khả dụng,
Brand,Nhãn,
Buying Price List,Bảng giá mua,
Cancel,Hủy bỏ,
Canceled,Đã hủy,
Cancelled,HỦY BỎ,
Category,thể loại,
Category Name,Category Name,
Check,Kiểm tra,
Client,Khách hàng,
Close,Đóng,
Closed,Đã đóng,
Color,Màu,
Comment,Bình luận,
Comments,Thẻ chú thích,
Company,Công ty,
Complete,Hoàn chỉnh,
Completed,Hoàn thành,
Component,Hợp phần,
Condition,Điều kiện,
Contact,Liên hệ,
Contact Email,Email Liên hệ,
Contact Phone,Điện thoại liên hệ,
Conversion Rate,Tỷ lệ chuyển đổi,
Created On,Ngày tạo,
Currency,Tiền tệ,
Current Status,Tình trạng hiện tại,
Custom,Tuỳ chỉnh,
Customer,Khách Hàng,
Customer ID,ID khách hàng,
Customer Name,Tên khách hàng,
Customer Type,loại khách hàng,
Data,Dữ liệu,
Date,Ngày,
Default,Mặc định,
Default Company,Công ty mặc định,
Default Item Group,Mặc định mục Nhóm,
Default Priority,Ưu tiên mặc định,
Default Source Warehouse,Kho nguồn mặc định,
Default Value,Giá trị mặc định,
Defaults,Mặc định,
Delayed,Bị hoãn,
Delivered,"Nếu được chỉ định, gửi các bản tin sử dụng địa chỉ email này",
Depends On,Phụ thuộc Bật,
Description,Mô tả,
Desk,Bàn giấy,
Discount (%),Giảm giá (%),
Discount Amount,Số tiền giảm giá,
Discount Type,Loại giảm giá,
Document Name,Document Name,
Document Type,loại tài liệu,
Draft,Bản nháp,
Due Date,Ngày đáo hạn,
Email,E-mail,
Email Address,Địa chỉ email,
Enabled,Đã bật,
Error,Lỗi,
Estimated Cost,Chi phí ước tính,
Expected End Date,Ngày Dự kiến kết thúc,
Expected Start Date,Ngày Dự kiến sẽ bắt đầu,
Expired,Hết hạn,
Failed,Thất bại,
Field Type,Loại lĩnh vực,
First Name,Họ,
Float,Phao,
From Date,Từ ngày,
Full Name,Tên đầy đủ,
Grand Total,Tổng cộng,
Hidden,Ẩn,
High,Cao,
Hold,tổ chức,
Hours,Giờ,
Idx,Idx,
In List View,Trong xem danh sách,
In Progress,Trong tiến trình,
In Transit,Quá cảnh,
Inactive,Không hoạt động,
Inspected By,Kiểm tra bởi,
Inspection Type,Loại kiểm tra,
Int,Int,
Inventory,Hàng tồn kho,
Is Active,Là hoạt động,
Is Group,Là nhóm,
Issue,Nội dung:,
Issued,Ban hành,
Item,Hạng mục,
Item Code,Mã hàng,
Item Name,Tên mục,
Items,Khoản mục,
Key,Chính,
Keyboard Shortcuts,Các phím tắt bàn phím,
Lab Technician,Kỹ thuật viên phòng thí nghiệm,
Last Active,Hoạt động cuối,
Last Name,Tên,
Location,Vị trí,
Logs,Các đăng nhập,
Lost,Mất,
Low,Thấp,
Maintenance,Bảo trì,
Manufacturer,Nhà sản xuất,
Mappings,Ánh xạ,
Medium,Trung bình,
Method,Phương pháp,
Model,Mô hình,
Modified By,Được thay đổi bởi,
Name,Tên,
Naming Series,Đặt tên series,
New,Mới,
Notes,Ghi chú:,
On Hold,Đang chờ,
Open,Mở,
Operation,Hoạt động,
Other,Khác,
Overdue,Quá hạn,
Owner,Chủ sở hữu,
Parameter,Tham số,
Parent Task,Công việc của Phụ Huynh,
Passed,Thông qua,
Pending,Chờ,
Pending Review,Đang chờ xem xét,
Percent Complete,Phần trăm hoàn thành,
Percentage,Tỷ lệ phần trăm,
Phone,Chuyển tệp,
Phone Number,Số điện thoại,
Planning,Hoạch định,
Portal,Cổng chính,
Posting Date,Ngày đăng,
Priority,Ưu tiên,
Progress,"Tiến bộ, tiến trình",
Purchase,Mua,
Purchase Date,Ngày mua hàng,
Purchase Order,Mua hàng,
Purchase Receipt,Biên lai nhận hàng,
Qty,Số lượng,
Quantity,Số lượng,
Rate,Đơn giá,
Rating,Đánh giá,
Read Only,Chỉ đọc,
Reason,Nguyên nhân,
Received,Nhận được,
Reference,Tham chiếu,
Reference DocType,Tham khảo DocType,
Reference Doctype,Tài liệu tham khảo DocType,
Reference Name,Tên tham chiếu,
Rejected,Bị từ chối,
Reload,Nạp lại,
Remarks,Ghi chú,
Reopen,Mở cửa trở lại,
Resolve,Giải quyết,
Resolved,Đã giải quyết,
Restore,khôi phục,
Rounded Total,Tròn số,
SMS,tin nhắn,
Sales,Bán hàng,
Sales Manager,Quản lý bán hàng,
Sales User,Bán tài khoản,
Scheduled,Dự kiến,
Scheduled Date,Dự kiến ngày,
Section,Phần,
Selling Price List,Bảng giá bán,
Serial No,Không nối tiếp,
Session Defaults,Mặc định phiên,
Setup,Cài đặt,
Shipping,Vận chuyển,
Signature,Chữ ký,
Signed,Đã ký,
Signed On,Đã đăng nhập,
Small Text,Tiêu đề nhỏ,
Sold,Đã bán,
Source DocType,DocType nguồn,
Source Warehouse,Kho nguồn,
Standard,Tiêu chuẩn,
Start,Bắt đầu,
Status,Trạng thái,
Stock Entry,Chứng từ kho,
Stock UOM,Đơn vị tính Hàng tồn kho,
Student,Sinh viên,
Subject,Chủ đề,
Submit,Gửi,
Submitted,Đã lần gửi,
Subtotal,Subtotal,
Suspended,Đình chỉ,
System Manager,Hệ thống quản lý,
Task,Nhiệm vụ,
Task Description,Mô tả công việc,
Task Name,Tên nhiệm vụ,
Task Type,Loại nhiệm vụ,
Tasks,Nhiệm vụ,
Template Name,Tên mẫu,
Terms,Điều khoản,
Text,Vãn bản,
Timestamp,Dấu thời gian,
Title,Tiêu đề,
To Date,Đến ngày,
Tools,Công cụ,
Total Cost,Tổng chi phí,
Totals,{0}{/0}{1}{/1} {2}{/2}Tổng giá trị,
Type,Loại,
UOM,Đơn vị đo lường,
Unit,Đơn vị,
Unknown,không xác định,
Unverified,Chưa được xác minh,
Urgent,Khẩn cấp,
Valid From,Có hiệu lực từ,
Valid Till,Hợp lệ đến,
Valid Upto,Hợp lệ Tối đa,
Valuation Rate,Định giá,
Value,Giá trị,
Verification,xác minh,
Verified By,Xác nhận bởi,
Version,Phiên bản,
View Website,Xem trang web,
Warehouse,Kho hàng,
Warranty,Bảo hành,
Workflow State,Công việc nhà nước,
Working,Làm việc,
