API,API,
About,關於,
Accepted,接受的,
Accounts User,會計人員,
Action,行動,
Actions,操作,
Activate,激活,
Active,啟用,
Actual Cost,实际成本,
Actual End Date,實際結束日期,
Actual Start Date,實際開始日期,
All,全部,
Amended From,從修訂,
Amount,量,
Approved,已批准,
Apps,应用,
Archive,檔案,
Archived,存檔,
Assigned To,指派給,
Attachments,附件,
Available,可用数量,
Brand,品牌,
Buying Price List,買價格表,
By,通過,
Cancel,取消,
Canceled,取消,
Cancelled,註銷,
Category,類別,
Category Name,分類名稱,
Check,查,
Client,客戶,
Close,關閉,
Closed,關閉,
Color,顏色,
Comment,評論,
Comments,評論,
Company,公司,
Complete,完成,
Completed,已完成,
Component,组件,
Condition,條件,
Contact,聯絡人,
Contact Email,聯絡電郵,
Contact Phone,联系电话,
Conversion Rate,兌換率,
Created On,創建於,
Currency,貨幣,
Current Status,当前状态,
Custom,自訂,
Customer,客戶,
Customer ID,顾客ID,
Customer Name,客戶名稱,
Customer Type,客戶類型,
Data,數據,
Date,日期,
Default,預設,
Default Company,預設公司,
Default Item Group,預設項目群組,
Default Priority,默认优先级,
Default Source Warehouse,預設來源倉庫,
Default Value,預設值,
Defaults,預設,
Delayed,延遲,
Delivered,交付,
Depends On,取決於,
Description,描述,
Desk,辦公桌,
Discount (%),折扣率（%）,
Discount Amount,折扣金額,
Discount Type,折扣类型,
Document Name,文件名稱,
Document Type,文件類型,
Documentation,文檔,
Draft,草稿,
Due Date,到期日,
Email,電子郵件,
Email Address,電子郵件地址,
Enabled,啟用,
Error,錯誤,
Estimated Cost,估計成本,
Excellent,优秀,
Expected End Date,預計結束日期,
Expected Start Date,預計開始日期,
Expired,過期,
Failed,失敗,
Field Type,欄位類型,
First Name,名字,
Float,浮動,
Frappe Support,Frappe支持,
From Date,從日期,
Full Name,全名,
Grand Total,累計,
Hidden,隱藏,
High,高,
Hold,持有,
Hours,小時,
Idx,索引,
In List View,在列表視圖,
In Progress,進行中,
In Transit,在途中,
Inactive,待用,
Inspected By,檢查,
Inspection Type,檢驗類型,
Int,詮釋,
Inventory,庫存,
Is Active,啟用,
Is Group,是集團,
Issue,問題,
Issued,發行,
Item,項目,
Item Code,產品編號,
Item Name,項目名稱,
Items,項目,
Key,關鍵,
Keyboard Shortcuts,键盘快捷键,
Lab Technician,實驗室技術員,
Last Active,最後活動,
Last Name,姓,
Location,地点,
Log Entries,日志条目,
Log out,注销,
Logs,日誌,
Lost,丟失,
Low,低,
Maintenance,維護,
Manufacturer,生產廠家,
Mappings,映射,
Medium,中,
Meta,元数据,
Method,方法,
Model,型号,
Modified By,修改者,
My Profile,我的档案,
My Settings,我的設定,
Name,名稱,
Naming Series,单据编号模板,
New,新增,
Notes,筆記,
OK,确定,
On Hold,等候接聽,
Open,開,
Operation,作業,
Other,其它,
Overdue,過期的,
Overview,概况,
Owner,業主,
Parameter,參數,
Parent Task,父任務,
Passed,通过,
Paused,已暂停,
Pending,擱置,
Pending Review,待審核,
Percent Complete,完成百分比,
Percentage,百分比,
Phone,電話,
Phone Number,电话,
Planning,規劃,
Portal,門戶,
Posting Date,發布日期,
Primary Email,主要邮箱,
Primary Phone,主要电话,
Priority,優先,
Progress,進展,
Purchase,採購,
Purchase Date,購買日期,
Purchase Order,採購訂單,
Purchase Receipt,採購入庫單,
Qty,數量,
Quantity,數量,
Rate,單價,
Rating,評分,
Read Only,只讀,
Reason,原因,
Received,已收货,
Reference,參考,
Reference DocType,DocType參照,
Reference Doctype,源单据类型,
Reference Name,參考名稱,
Rejected,拒絕,
Reload,重新載入,
Remarks,備註,
Reopen,重新打開,
Repair,维修,
Repair Details,维修详情,
Report an Issue,報告問題,
Resolve,解决,
Resolved,已解决,
Restore,恢復,
Returned,已退回,
Rounded Total,整數總計,
Running,運行,
SMS,短信,
Sales,銷售,
Sales Manager,銷售經理,
Sales User,銷售用戶,
Scheduled,預定,
Scheduled Date,預定日期,
Section,段,
Selling Price List,賣價格表,
Serial No,序列號,
Session Defaults,会话默认值,
Setup,設定,
Shipping,航運,
Signature,簽名,
Signed,簽,
Signed On,簽名,
Small Text,小文,
Sold,已出售,
Source DocType,源DocType,
Source Warehouse,來源倉庫,
Standard,標準,
Start,開始,
Started At,开始于,
Status,狀態,
Stock Entry,存貨分錄,
Stock UOM,庫存計量單位,
Student,學生,
Subject,主題,
Submit,提交,
Submitted,提交,
Subtotal,小計,
Suspended,暫停,
System Manager,系統管理器,
Task,任務,
Task Description,任务描述,
Task Name,任務名稱,
Task Type,任务类型,
Tasks,任務,
Tax Amount,税额,
Template Name,模板名稱,
Terms,條款,
Text,文本,
Timestamp,時間戳,
Title,標題,
To Date,结束日期,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Tools,工具,
Total Cost,總成本,
Totals,總計,
Type,類型,
UOM,UOM,
Unit,單位,
Unknown,未知,
Unverified,未核实,
Upgrade,升級,
Urgent,緊急,
User Forum,用戶論壇,
Valid From,生效日期,
Valid Till,失效日期,
Valid Upto,到...為止有效,
Valuation Rate,估值率,
Value,值,
Verification,验证,
Verified By,認證機構,
Version,版本,
View Website,查看網站,
Warehouse,倉庫,
Warranty,保證,
Workflow State,工作流程狀態,
Working,工作的,
