Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Body Material (product.metafields.custom.body_material),Brand (product.metafields.custom.brand),Instrument Compatibility (product.metafields.custom.instrument_compatibility),Instrument Type (product.metafields.custom.instrument_type),Key (product.metafields.custom.key),Key Features 1 (product.metafields.custom.key_features_1),Key Features 2 (product.metafields.custom.key_features_2),Key Features 3 (product.metafields.custom.key_features_3),Key Plating (product.metafields.custom.key_material),Key Post Material (product.metafields.custom.key_post_material),meter (product.metafields.custom.meter),Pad Type (product.metafields.custom.pad_type),Product Grouping Option 1 (product.metafields.custom.product_grouping_option_1),Product Grouping Option 1 Value (product.metafields.custom.product_grouping_option_1_value),Product Type (product.metafields.custom.product_type),Skill Level (product.metafields.custom.skill_level),_Included_Accessories (product.metafields.custom._included_accessories),Product subtitle (product.metafields.descriptors.subtitle),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),rebate new (product.metafields.rebate.new),rebate old (product.metafields.rebate.old),Product rating count (product.metafields.reviews.rating_count),Bell size (product.metafields.shopify.bell-size),Clarinet key system (product.metafields.shopify.clarinet-key-system),Compatible clarinet type (product.metafields.shopify.compatible-clarinet-type),Instrument/Accessory finish (product.metafields.shopify.instrument-accessory-finish),Instrument material (product.metafields.shopify.instrument-material),Mouthpiece (product.metafields.shopify.mouthpiece),Reed strength (product.metafields.shopify.reed-strength),Tip opening (product.metafields.shopify.tip-opening),Tuning pitch (product.metafields.shopify.tuning-pitch),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
buffet-crampon-gala,Buffet Crampon Gala A Clarinet,"
<style>
  .h1 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h2 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h3 {
    text-align: center;
    font-size: 2rem;
    font-style: italic;
  }

  .text-center {
    text-align: center;
  }

  .text-center1 {
    text-align: center;
    font-style: italic;
    color: #9b7733;
  }

  .text-center2 {
    text-align: center;
    text-decoration: underline;
    color: #414040;
  }

  .tabs {
    display: flex;
    justify-content: center;
    border-bottom: 2px solid #ddd;
    border-radius: 5px 5px 0 0;
    margin: 20px 0;
  }

  .tab {
    padding: 10px 20px;
    cursor: pointer;
    font-weight: bold;
    background-color: #C7B38A;
    border: 1px solid #ddd;
    border-bottom: none;
    margin-right: 5px;
    border-radius: 5px 5px 0 0;
  }

  .tab.active {
    background-color: #dcc18825;
    border-bottom: 2px solid #dcc18825;
    box-shadow: 2px 0px 5px rgba(0, 0, 0, 0.6);
  }

  .tab-content {
    display: none;
    padding: 15px;
    background-color: #DCC18850;
    border: 1px solid #ddd;
    border-radius: 5px;
  }

  .tab-content.active {
    display: block;
  }

  .spec-table {
    width: 100%;
    border-collapse: collapse;
    margin: 0 auto;
  }

  .spec-table th,
  .spec-table td {
    padding: 8px;
    border: 1px solid #ddd;
  }

  .spec-table th {
    background-color: #f9f9f9;
    text-align: left;
  }
</style>

<article>
  <header>
    <h1 class=""h1"">Buffet Crampon Gala A Clarinet</h1>
    <p class=""text-center1"">A Fusion of Artistry and Innovation</p>
    <p class=""text-center"">
      The <strong>Buffet Crampon Gala A Clarinet</strong> represents the pinnacle of French craftsmanship, combining the timeless elegance of its Légende and Tradition predecessors with innovative design. This professional-grade clarinet delivers rich harmonics, exceptional responsiveness, and an accessible price point, making it a favorite among dedicated musicians.
    </p>
  </header>

  <!-- Tab Navigation -->
  <div class=""tabs"">
    <div data-tab=""overview"" class=""tab active"">Overview</div>
    <div data-tab=""design"" class=""tab"">Design</div>
    <div data-tab=""specifications"" class=""tab"">Specifications</div>
  </div>

  <!-- Tab Content: Overview -->
  <div class=""tab-content active"" id=""overview"">
    <p class=""h2""><strong>Elevate Your Musical Expression</strong></p>
    <p>
      The Gala A Clarinet offers a versatile and balanced tonal palette that seamlessly adapts to various musical genres. Crafted from premium grenadilla wood, its precise construction ensures consistent intonation and expressive dynamics across all registers, making it ideal for both solo and ensemble performances.
    </p>
  </div>

  <!-- Tab Content: Design -->
  <div class=""tab-content"" id=""design"">
    <section>
      <header>
        <h1 class=""h2""><strong>Innovative Craftsmanship</strong></h1>
        <p class=""text-center1""><strong>Elegant &amp; Functional Design</strong></p>
        <p>
          Highlighted by its black nickel-plated rings and refined medallion, the Gala A Clarinet exudes understated elegance. Equipped with leather pads and a poly-cylindrical bore, it offers exceptional playability and a warm, resonant sound that meets the demands of professional musicians.
        </p>
      </header>
    </section>

    <section>
      <h2 class=""h3""><strong>Made in France with Precision</strong></h2>
      <p>
        Handcrafted in Buffet Crampon’s French workshops, the Gala A Clarinet is a testament to traditional expertise and modern innovation. Its ergonomic design, adjustable thumb rest, and lightweight pochette-style case make it both a pleasure to play and transport.
      </p>
    </section>
  </div>

  <!-- Tab Content: Specifications -->
  <div class=""tab-content"" id=""specifications"">
    <p class=""h2""><strong>Key Specifications</strong></p>
    <table class=""spec-table"">
      <colgroup>
        <col style=""width: 33%;"">
        <col style=""width: 67%;"">
      </colgroup>
      <tbody>
        <tr>
          <th>Model</th>
          <td>Gala A Clarinet</td>
        </tr>
        <tr>
          <th>Key</th>
          <td>A</td>
        </tr>
        <tr>
          <th>Pitch</th>
          <td>440/442 Hz</td>
        </tr>
        <tr>
          <th>Body Material</th>
          <td>Stained grenadilla wood (<em>Dalbergia melanoxylon</em>)</td>
        </tr>
        <tr>
          <th>Bore</th>
          <td>Poly-cylindrical</td>
        </tr>
        <tr>
          <th>Barrels</th>
          <td>65 mm and 64 mm</td>
        </tr>
        <tr>
          <th>Keywork</th>
          <td>17 keys, silver-plated</td>
        </tr>
        <tr>
          <th>Pads</th>
          <td>Leather</td>
        </tr>
        <tr>
          <th>Thumb Rest</th>
          <td>Adjustable</td>
        </tr>
        <tr>
          <th>Case</th>
          <td>Pochette-style wooden case</td>
        </tr>
      </tbody>
    </table>
  </div>

  <footer>
    <p>
      The <strong>Buffet Crampon Gala A Clarinet</strong> combines superior craftsmanship with exceptional tonal quality, offering musicians a perfect balance of innovation and tradition. Elevate your performances with this masterfully designed instrument.
    </p>
  </footer>
</article>

<script>
  // Tab functionality
  const tabs = document.querySelectorAll('.tab');
  const contents = document.querySelectorAll('.tab-content');

  tabs.forEach(tab => {
    tab.addEventListener('click', () => {
      // Remove 'active' class from all tabs and contents
      tabs.forEach(t => t.classList.remove('active'));
      contents.forEach(c => c.classList.remove('active'));

      // Add 'active' class to the clicked tab and corresponding content
      tab.classList.add('active');
      document.getElementById(tab.dataset.tab).classList.add('active');
    });
  });
</script>
",Buffet Crampon,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Woodwinds > Clarinets,Clarinets,"buffet, buffet-crampon, clarinet, gala, grenadilla, INSTRUMENT, Intermediate, Key of A, New, semi, step, Student",true,Title,Default Title,,,,,,,,BC1221-2-0P,6259.574706,shopify,continue,manual,3782.00,5790.00,true,true,"",https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponGalaAClarinet0.webp?v=1737618674,1,"",false,Buffet Crampon Gala A Clarinet – A Masterpiece of Craftsmanship,"Discover the Buffet Crampon Gala A Clarinet, blending French artistry with modern innovation, offering rich harmonics and exceptional quality for professional musicians.",,,,,,,,,,,, Grenadilla Wood,Buffet Crampon,A Soprano Clarinet,A Soprano Clarinet, A,,,, Silver Plated, Silver Plated,, Leather,,,Instrument,"Intermediate
Professional",,,,,,,,,,boehm,,black,african-blackwood,a; bb,,,,,,,,,lb,,2482.00,active
buffet-crampon-gala,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponGalaAClarinet4.webp?v=1737618674,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-gala,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponGalaAClarinet2.webp?v=1737618674,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-gala,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponGalaAClarinet3.webp?v=1737618674,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-gala,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponGalaAClarinet1.webp?v=1737618674,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-festival,Buffet Crampon Festival A Clarinet,"<style>
  .h1 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h2 {
    text-align: center;
    font-size: 2.5rem;
    font-style: bold strong;
    font-family: ""Philosopher"";
  }

  .h3 {
    text-align: center;
    font-size: 2rem;
    font-style: italic;
  }

  .text-center {
    text-align: center;
  }

  .text-center1 {
    text-align: center;
    font-style: italic;
    color: #9b7733;
  }

  .text-center2 {
    text-align: center;
    text-decoration: underline;
    color: #414040;
  }

  .tabs {
    display: flex;
    justify-content: center;
    border-bottom: 2px solid #ddd;
    border-radius: 5px 5px 0 0;
    margin: 20px 0;
  }

  .tab {
    padding: 10px 20px;
    cursor: pointer;
    font-weight: bold;
    background-color: #C7B38A;
    border: 1px solid #ddd;
    border-bottom: none;
    margin-right: 5px;
    border-radius: 5px 5px 0 0;
  }

  .tab.active {
    background-color: #dcc18825;
    border-bottom: 2px solid #dcc18825;
    box-shadow: 2px 0px 5px rgba(0, 0, 0, 0.6);
  }

  .tab-content {
    display: none;
    padding: 15px;
    background-color: #DCC18850;
    border: 1px solid #ddd;
    border-radius: 5px;
  }

  .tab-content.active {
    display: block;
  }

  .spec-table {
    width: 100%;
    border-collapse: collapse;
    margin: 0 auto;
  }

  .spec-table th,
  .spec-table td {
    padding: 8px;
    border: 1px solid #ddd;
  }

  .spec-table th {
    background-color: #f9f9f9;
    text-align: left;
  }
</style>

<article>
  <header>
    <h1 class=""h1"">Buffet Crampon Festival A Clarinet</h1>
    <p class=""text-center1"">The Versatile Choice for Professional Musicians</p>
    <p>
      Designed in 1987 with guidance from Jacques Lancelot, Guy Deplus, and Michel Arrignon, the <strong>Buffet Crampon Festival A Clarinet</strong> meets the highest demands of today’s soloists, teachers, and advanced students. With exceptional versatility and tonal richness, it’s the ideal clarinet for interpreting a wide repertoire, from classical to contemporary.
    </p>
  </header>

  <!-- Tab Navigation -->
  <div class=""tabs"">
    <div data-tab=""overview"" class=""tab active"">Overview</div>
    <div data-tab=""features"" class=""tab"">Features</div>
    <div data-tab=""specifications"" class=""tab"">Specifications</div>
  </div>

  <!-- Tab Content: Overview -->
  <div class=""tab-content active"" id=""overview"">
    <p class=""h2""><strong>Performance Redefined</strong></p>
    <p>
      The Festival A Clarinet combines Buffet Crampon’s legendary craftsmanship with modern innovation. Its poly-cylindrical bore ensures precise intonation and smooth transitions across all registers, delivering a warm, resonant sound that projects effortlessly in any setting.
    </p>
  </div>

  <!-- Tab Content: Features -->
  <div class=""tab-content"" id=""features"">
    <section>
      <header>
        <h1 class=""h2""><strong>Unmatched Craftsmanship</strong></h1>
        <p class=""text-center1""><strong>A Symphony of Design and Function</strong></p>
        <p>
          Made from premium, unstained grenadilla wood, the Festival A Clarinet offers durability and tonal clarity. Its silver-plated keywork ensures smooth action and reliability, while the adjustable thumb rest and E♭/A♭ lever provide enhanced ergonomic comfort for extended play.
        </p>
      </header>
    </section>

    <section>
      <h2 class=""h3""><strong>A Clarinet for Every Repertoire</strong></h2>
      <p>
        Whether performing Mozart, Boulez, or anything in between, the Festival A Clarinet adapts seamlessly to diverse musical styles. Its expressive capabilities and professional-grade construction make it a top choice for musicians seeking excellence in sound and versatility.
      </p>
    </section>
  </div>

  <!-- Tab Content: Specifications -->
  <div class=""tab-content"" id=""specifications"">
    <p class=""h2""><strong>Key Specifications</strong></p>
    <table class=""spec-table"">
      <colgroup>
        <col style=""width: 33%;"">
        <col style=""width: 67%;"">
      </colgroup>
      <tbody>
        <tr>
          <th>Model</th>
          <td>Festival A Clarinet</td>
        </tr>
        <tr>
          <th>Key</th>
          <td>A</td>
        </tr>
        <tr>
          <th>Pitch</th>
          <td>440/442 Hz</td>
        </tr>
        <tr>
          <th>Body Material</th>
          <td>Unstained grenadilla wood (Dalbergia Melanoxylon)</td>
        </tr>
        <tr>
          <th>Bore</th>
          <td>Poly-cylindrical</td>
        </tr>
        <tr>
          <th>Barrels</th>
          <td>65 mm and 64 mm</td>
        </tr>
        <tr>
          <th>Keywork</th>
          <td>18 keys, 6 rings; silver-plated</td>
        </tr>
        <tr>
          <th>E♭/A♭ Lever</th>
          <td>Standard</td>
        </tr>
        <tr>
          <th>Springs</th>
          <td>Needle and flat blue steel</td>
        </tr>
        <tr>
          <th>Pads</th>
          <td>GT waterproof, leather, and natural cork</td>
        </tr>
        <tr>
          <th>Case</th>
          <td>Traditional wooden case</td>
        </tr>
        <tr>
          <th>Accessories</th>
          <td>Ligature, mouthpiece cap, swab, cork grease, pencil</td>
        </tr>
      </tbody>
    </table>
  </div>

  <footer>
    <p>
      The <strong>Buffet Crampon Festival A Clarinet</strong> offers unparalleled sound quality, versatility, and durability. With its professional-grade features and impeccable design, this clarinet is the perfect companion for musicians aiming for excellence.
    </p>
  </footer>
</article>

<script>
  // Tab functionality
  const tabs = document.querySelectorAll('.tab');
  const contents = document.querySelectorAll('.tab-content');

  tabs.forEach(tab => {
    tab.addEventListener('click', () => {
      // Remove 'active' class from all tabs and contents
      tabs.forEach(t => t.classList.remove('active'));
      contents.forEach(c => c.classList.remove('active'));

      // Add 'active' class to the clicked tab and corresponding content
      tab.classList.add('active');
      document.getElementById(tab.dataset.tab).classList.add('active');
    });
  });
</script>
",Buffet Crampon,Arts & Entertainment > Hobbies & Creative Arts > Musical Instruments > Woodwinds > Clarinets > A Clarinets,Clarinets,"buffet, buffet-crampon, clarinet, festival, Green Line, Greenline, grenadilla, INSTRUMENT, Key of A, New, pro, Professional",true,Body Material,Greenline,,,,,,,,BC1239GL-2-0-1,6259.574706,shopify,continue,manual,6762.00,,true,true,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponFestivalAClarinet0.webp?v=1737618722,1,"",false,Buffet Crampon Festival A Clarinet — Crafted for Versatility ,"Discover the Buffet Crampon Festival A Clarinet, designed with input from renowned clarinetists for professional musicians seeking tonal depth and precision.",88,,,,,,,,,,, Grenadilla Wood,Buffet Crampon,A Soprano Clarinet,A Soprano Clarinet, A,,,, Silver Plated, Silver Plated,, GT Pads,,,Instrument,Professional,,,,,,,,,,boehm,,mopane-wood,african-blackwood,a; bb,,,,,,,,,lb,,5129.00,active
buffet-crampon-festival,,,,,,,,,Grenadilla Wood,,,,,,,,BC1239GL-2-0-2,6259.574706,shopify,continue,manual,6762.00,,true,true,0695121001984,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponFestivalAClarinet4.webp?v=1737618722,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,5129.00,
buffet-crampon-festival,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponFestivalAClarinet2.webp?v=1737618722,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-festival,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponFestivalAClarinet3.webp?v=1737618722,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buffet-crampon-festival,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0579/3035/0644/files/BuffetCramponFestivalAClarinet1.webp?v=1737618722,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
