API,API,
Accepted,സ്വീകരിച്ചു,
Accounts User,ഉപയോക്തൃ അക്കൗണ്ടുകൾ,
Action,ആക്ഷൻ,
Actions,ക്രിയകൾ,
Active,സജീവ,
Actual Cost,യഥാർത്ഥ ചെലവ്,
Actual End Date,യഥാർത്ഥ അവസാന തീയതി,
Actual Start Date,യഥാർത്ഥ ആരംഭ തീയതി,
All,എല്ലാം,
Amended From,നിന്ന് ഭേദഗതി,
Amount,തുക,
Approved,അംഗീകരിച്ചു,
Archive,ആർക്കൈവ്,
Archived,പൊതിക്കെട്ടിയത്,
Assigned To,നിയോഗിച്ചിട്ടുള്ള,
Attachments,അറ്റാച്മെന്റ്,
Available,ലഭ്യമായ,
Brand,ബ്രാൻഡ്,
Buying Price List,വിലവിപണി വാങ്ങൽ,
Cancel,റദ്ദാക്കുക,
Canceled,റദ്ദാക്കി,
Cancelled,റദ്ദാക്കി,
Category,വർഗ്ഗം,
Category Name,വർഗ്ഗം പേര്,
Check,ചെക്ക്,
Client,ക്ലയന്റ്,
Close,അടയ്ക്കുക,
Closed,അടച്ചു,
Color,കളർ,
Comment,അഭിപ്രായം,
Comments,അഭിപ്രായങ്ങൾ,
Company,കമ്പനി,
Complete,പൂർത്തിയാക്കുക,
Completed,പൂർത്തിയാക്കി,
Component,ഘടകം,
Condition,കണ്ടീഷൻ,
Contact,കോൺടാക്റ്റ്,
Contact Email,കോൺടാക്റ്റ് ഇമെയിൽ,
Contact Phone,ഫോണുമായി ബന്ധപ്പെടുക,
Conversion Rate,പരിവർത്തന നിരക്ക്,
Created On,ൽ സൃഷ്ടിച്ച,
Currency,കറൻസി,
Current Status,ഇപ്പോഴത്തെ നില,
Custom,കസ്റ്റം,
Customer,കസ്റ്റമർ,
Customer ID,കസ്റ്റമർ ഐഡി,
Customer Name,ഉപഭോക്താവിന്റെ പേര്,
Customer Type,ഉപഭോക്തൃ തരം,
Data,ഡാറ്റാ,
Date,തീയതി,
Default,സ്ഥിരസ്ഥിതി,
Default Company,സ്ഥിരസ്ഥിതി കമ്പനി,
Default Item Group,സ്ഥിരസ്ഥിതി ഇനം ഗ്രൂപ്പ്,
Default Priority,സ്ഥിരസ്ഥിതി മുൻ‌ഗണന,
Default Source Warehouse,സ്ഥിരസ്ഥിതി ഉറവിട വെയർഹൗസ്,
Default Value,സഹജമായ മൂല്യം,
Defaults,സ്ഥിരസ്ഥിതികൾ,
Delayed,വൈകിയ,
Delivered,കൈമാറി,
Depends On,ആശ്രയിച്ചിരിക്കുന്നു,
Description,വിവരണം,
Desk,ഡെസ്ക്,
Discount (%),കിഴിവ് (%),
Discount Amount,കിഴിവും തുക,
Discount Type,കിഴിവ് തരം,
Document Name,ഡോക്യുമെന്റ് പേര്,
Document Type,ഡോക്യുമെന്റ് തരം,
Draft,ഡ്രാഫ്റ്റ്,
Due Date,അവസാന തീയതി,
Email,ഇമെയിൽ,
Email Address,ഈ - മെയില് വിലാസം,
Enabled,പ്രാപ്തമാക്കി,
Error,പിശക്,
Estimated Cost,കണക്കാക്കിയ ചെലവ്,
Expected End Date,പ്രതീക്ഷിച്ച അവസാന തീയതി,
Expected Start Date,പ്രതീക്ഷിച്ച ആരംഭ തീയതി,
Expired,കാലഹരണപ്പെട്ടു,
Failed,പരാജയപ്പെട്ടു,
Field Type,ഫീൽഡ് തരം,
First Name,പേരിന്റെ ആദ്യഭാഗം,
Float,ഒഴുകുക,
From Date,ഈ തീയതി മുതൽ,
Full Name,പൂർണ്ണമായ പേര്,
Grand Total,ആകെ തുക,
Hidden,മറച്ചു,
High,ഹൈ,
Hold,പിടിക്കുക,
Hours,മണിക്കൂറുകൾ,
Idx,IDX,
In List View,പട്ടിക കാണുക ൽ,
In Progress,പുരോഗതിയിൽ,
In Transit,യാത്രയിൽ,
Inactive,നിഷ്ക്രിയം,
Inspected By,പരിശോധിച്ചത്,
Inspection Type,ഇൻസ്പെക്ഷൻ തരം,
Int,യ,
Inventory,ഇൻവെന്ററി,
Is Active,സജീവമായിട്ടുള്ള,
Is Group,ഗ്രൂപ്പ് തന്നെയല്ലേ,
Issue,ഇഷ്യൂ,
Issued,ഇഷ്യൂചെയ്തു,
Item,ഇനം,
Item Code,ഇനം കോഡ്,
Item Name,ഇനത്തിന്റെ പേര്,
Items,ഇനങ്ങൾ,
Key,കീ,
Keyboard Shortcuts,കീബോർഡ് കുറുക്കുവഴികൾ,
Lab Technician,ലാബ് ടെക്നീഷ്യൻ,
Last Active,അവസാന സജീവ,
Last Name,പേരിന്റെ അവസാന ഭാഗം,
Location,സ്ഥാനം,
Logs,ലോഗുകൾ,
Lost,നഷ്ടപ്പെട്ട,
Low,ലോ,
Maintenance,മെയിൻറനൻസ്,
Manufacturer,നിർമ്മാതാവ്,
Mappings,മാപ്പിംഗുകൾ,
Medium,മീഡിയം,
Method,രീതിയുടെ,
Model,മാതൃക,
Modified By,പരിഷ്ക്കരിച്ചത്,
Name,പേര്,
Naming Series,സീരീസ് നാമകരണം,
New,പുതിയത്,
Notes,കുറിപ്പുകൾ,
On Hold,ഹോൾഡ് ചെയ്തിരിക്കുന്നു,
Open,തുറക്കുക,
Operation,ഓപ്പറേഷൻ,
Other,മറ്റുള്ളവ,
Overdue,അവധികഴിഞ്ഞ,
Owner,ഉടമ,
Parameter,പാരാമീറ്റർ,
Parent Task,പാരന്റ് ടാസ്ക്,
Passed,കടന്നുപോയി,
Pending,തീർച്ചപ്പെടുത്തിയിട്ടില്ല,
Pending Review,അവശേഷിക്കുന്ന അവലോകനം,
Percent Complete,പൂർത്തിയായി,
Percentage,ശതമാനം,
Phone,ഫോൺ,
Phone Number,ഫോൺ നമ്പർ,
Planning,ആസൂത്രണം,
Portal,പോർട്ടൽ,
Posting Date,പോസ്റ്റിംഗ് തീയതി,
Priority,മുൻഗണന,
Progress,പുരോഗതി,
Purchase,വാങ്ങൽ,
Purchase Date,വാങ്ങിയ തിയതി,
Purchase Order,പർച്ചേസ് ഓർഡർ,
Purchase Receipt,വാങ്ങൽ രസീത്,
