API,API,
About,关于,
Accepted,已接受,
Accounts User,会计,
Action,操作,
Actions,操作,
Activate,激活,
Active,激活,
Actual Cost,实际成本,
Actual End Date,实际结束日期,
Actual Start Date,实际开始日期,
All,全部,
Amended From,修订自(上一版单据编号),
Amount,金额,
Approved,已批准,
Apps,应用,
Archive,归档,
Archived,已归档,
Assigned To,创建待办,
Attachments,附件,
Available,可用数量,
Brand,品牌,
Buying Price List,采购价格表,
Cancel,取消,
Canceled,取消,
Cancelled,已取消,
Category,类别,
Category Name,分类名称,
Check,检查,
Client,客户,
Close,关闭,
Closed,已关闭,
Color,颜色,
Comment,评论,
Comments,评论,
Company,公司,
Complete,完成,
Completed,已完成,
Component,组件,
Condition,条件,
Contact,联系人,
Contact Email,联系人电邮,
Contact Phone,联系电话,
Conversion Rate,转换率,
Created On,创建于,
Currency,货币,
Current Status,当前状态,
Custom,自定义,
Customer,客户,
Customer ID,顾客ID,
Customer Name,客户名称,
Customer Type,客户类型,
Data,数据,
Date,日期,
Default,默认,
Default Company,默认公司,
Default Item Group,默认物料组,
Default Priority,默认优先级,
Default Source Warehouse,默认发料仓,
Default Value,默认值,
Defaults,默认,
Delayed,已逾期,
Delivered,已出货,
Depends On,取决于,
Description,描述,
Desk,主页（桌面）,
Discount (%),折扣率（%）,
Discount Amount,折扣金额,
Discount Type,折扣类型,
Document Name,单据编号,
Document Type,单据类型,
Documentation,用户操作手册,
Draft,草稿,
Due Date,到期日,
Email,邮件,
Email Address,电子邮箱,
Enabled,已启用,
Error,错误,
Estimated Cost,预估成本,
Excellent,优秀,
Expected End Date,预计结束日期,
Expected Start Date,预计开始日期,
Expired,已过期,
Failed,失败,
Field Type,字段类型,
First Name,姓名,
Float,浮点数,
Frappe Support,Frappe支持,
From Date,开始日期,
Full Name,全名,
Grand Total,总计,
Hidden,隐藏,
High,高,
Hold,临时冻结,
Hours,小时,
Idx,索引,
In List View,列表视图中,
In Progress,进行中,
In Transit,在途中,
Inactive,失效,
Inspected By,检验人,
Inspection Type,检验类型,
Int,整型,
Inventory,库存,
Is Active,生效,
Is Group,是组,
Issue,问题,
Issued,已发料,
Item,物料,
Item Code,物料号,
Item Name,物料名称,
Items,物料,
Key,键值,
Keyboard Shortcuts,键盘快捷键,
Lab Technician,实验室技术员,
Last Active,最后活跃时间,
Last Name,姓,
Location,地点,
Log Entries,日志条目,
Log out,注销,
Logs,日志集,
Lost,未成交,
Low,低,
Maintenance,维护保养,
Manufacturer,制造商,
Mappings,映射,
Medium,中,
Meta,元数据,
Method,方法,
Model,型号,
Modified By,修改者,
My Profile,我的档案,
My Settings,我的设置,
Name,名称,
Naming Series,单据编号模板,
New,新建,
Notes,备注,
OK,确定,
On Hold,临时冻结,
Open,待处理,
Operation,工序,
Other,其它,
Overdue,已逾期,
Overview,概况,
Owner,制单人,
Parameter,参数,
Parent Task,父任务,
Passed,通过,
Paused,已暂停,
Pending,待处理,
Pending Review,待审核,
Percent Complete,完成百分比,
Percentage,百分比,
Phone,电话,
Phone Number,电话,
Planning,计划,
Portal,门户,
Posting Date,记账日期,
Primary Email,主要邮箱,
Primary Phone,主要电话,
Priority,优先级,
Progress,进展,
Purchase,采购,
Purchase Date,采购日期,
Purchase Order,采购订单,
Purchase Receipt,采购入库,
Qty,数量,
Quantity,数量,
Rate,单价,
Rating,评分,
Read Only,只读,
Reason,原因,
Received,已收货,
Reference,参考,
Reference DocType,源单据类型,
Reference Doctype,源单据类型,
Reference Name,源单据,
Rejected,拒绝,
Reload,重新加载,
Remarks,备注,
Reopen,重新打开,
Repair,维修,
Repair Details,维修详情,
Report an Issue,提交一个问题,
Resolve,解决,
Resolved,已解决,
Restore,恢复,
Returned,已退回,
Rounded Total,圆整后总金额,
Running,正在运行,
SMS,短信,
Sales,销售,
Sales Manager,销售经理,
Sales User,销售员,
Scheduled,计划内,
Scheduled Date,计划日期,
Section,段,
Selling Price List,销售价格表,
Serial No,序列号,
Session Defaults,会话默认值,
Setup,设置,
Shipping,运输,
Signature,签名,
Signed,已签,
Signed On,签名日期,
Small Text,小文本,
Sold,已出售,
Source DocType,源DocType,
Source Warehouse,发料仓,
Standard,标准,
Start,开始,
Started At,开始于,
Status,状态,
Stock Entry,物料移动,
Stock UOM,库存单位,
Student,学生,
Subject,主题,
Submit,提交,
Submitted,已提交,
Subtotal,小计,
Suspended,被吊销,
System Manager,系统管理员,
Task,任务,
Task Description,任务描述,
Task Name,任务名称,
Task Type,任务类型,
Tasks,任务,
Tax Amount,税额,
Template Name,模板名称,
Terms,条款,
Text,文本,
Timestamp,时间戳,
Title,标题,
To Date,结束日期,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Tools,工具,
Total Cost,总成本,
Totals,总计,
Type,类型,
UOM,单位,
Unit,单位,
Unknown,未知,
Unverified,未核实,
Urgent,紧急,
User Forum,用户论坛,
Valid From,生效日期,
Valid Till,失效日期,
Valid Upto,有效期至,
Valuation Rate,成本价,
Value,值,
Verification,验证,
Verified By,审批人,
Version,版本,
View Website,查看网站,
Warehouse,仓库,
Warranty,质量保证,
Workflow State,工作流状态,
Working,处理中,
