API,API,
Accepted,priimtas,
Accounts User,Sąskaitos vartotoją,
Action,veiksmas,
Actions,Veiksmai,
Active,aktyvus,
Actual Cost,Tikroji kaina,
Actual End Date,Tikrasis Pabaigos data,
Actual Start Date,Tikrasis pradžios data,
All,VISOS,
Amended From,Iš dalies pakeistas Nuo,
Amount,Suma,
Approved,patvirtinta,
Archive,archyvas,
Archived,archyvuojami,
Assigned To,Priskirtas,
Attachments,įrangos,
Available,pasiekiamas,
Brand,markė,
Buying Price List,Pirkimo kainoraštis,
Cancel,Atšaukti,
Canceled,Atšauktas,
Cancelled,Atšauktas,
Category,Kategorija,
Category Name,Kategorijos pavadinimas,
Check,Patikrinti,
Client,klientas,
Close,Uždaryti,
Closed,Uždaryta,
Color,spalva,
Comment,Komentuok,
Comments,Komentarai,
Company,Bendrovė,
Complete,pilnas,
Completed,užbaigtas,
Component,Komponentas,
Condition,būklė,
Contact,Kontaktinis asmuo,
Contact Email,kontaktinis elektroninio pašto adresas,
Contact Phone,Kontaktinis telefonas,
Conversion Rate,Perskaičiavimo kursas,
Created On,sukurtas,
Currency,valiuta,
Current Status,Dabartinė būsena,
Custom,paprotys,
Customer,Klientas,
Customer ID,Kliento ID,
Customer Name,Klientas,
Customer Type,Kliento tipas,
Data,duomenys,
Date,Data,
Default,Numatytas,
Default Company,numatytasis Įmonės,
Default Item Group,Numatytasis Elementas Grupė,
Default Priority,Numatytasis prioritetas,
Default Source Warehouse,Numatytasis Šaltinis sandėlis,
Default Value,Numatytoji reikšmė,
Defaults,Numatytasis,
Delayed,atidėtas,
Delivered,Pristatyta,
Depends On,Priklauso nuo,
Description,Prekės ir paslaugos pavadinimas,
Desk,rašomasis stalas,
Discount (%),Nuolaida (%),
Discount Amount,Nuolaida suma,
Discount Type,Nuolaidos tipas,
Document Name,Dokumento pavadinimas,
Document Type,dokumento tipas,
Draft,Projektas,
Due Date,Terminas,
Email,El. Paštas,
Email Address,Elektroninio pašto adresas,
Enabled,Įjungtas,
Error,klaida,
Estimated Cost,Numatoma kaina,
Expected End Date,Tikimasi Pabaigos data,
Expected Start Date,"Tikimasi, pradžios data",
Expired,baigėsi,
Failed,Nepavyko,
Field Type,laukas tipas,
First Name,Pirmas vardas,
Float,plūdė,
From Date,nuo data,
Full Name,Pilnas vardas,
Grand Total,Bendra suma,
Hidden,Paslėpta,
High,aukštas,
Hold,laikyti,
Hours,Valandos,
Idx,IDX,
In List View,Sąrašo Peržiūrėti,
In Progress,&quot;Progress&quot;,
In Transit,Tranzitu,
Inactive,Neaktyvus,
Inspected By,tikrina,
Inspection Type,Patikrinimo tipas,
Int,Žiniasklaida,
Inventory,Inventorius,
Is Active,yra aktyvus,
Is Group,Yra grupė,
Issue,emisija,
Issued,Išduotas,
Item,Prekė,
Item Code,Prekės kodas,
Item Name,Daikto pavadinimas,
Items,Daiktai,
Key,raktas,
Keyboard Shortcuts,Klaviatūros nuorodos,
Lab Technician,Laboratorijos technikas,
Last Active,Lankėsi,
Last Name,Pavardė,
Location,vieta,
Logs,Prisijungia,
Lost,Prarastas,
Low,žemas,
Maintenance,Priežiūra,
Manufacturer,Gamintojas,
Mappings,Grafikai,
Medium,vidutinis,
Method,metodas,
Model,Modelis,
Modified By,Modifikavo,
Name,vardas,
Naming Series,Pavadinimų serija,
New,Nauja,
Notes,Pastabos,
On Hold,Laikomas,
Open,Atviras,
Operation,Operacija,
Other,kitas,
Overdue,Pavėluota,
Owner,Savininkas,
Parameter,Parametras,
Parent Task,Tėvų užduotis,
Passed,Praėjo,
Pending,kol,
Pending Review,kol apžvalga,
Percent Complete,Procentas baigtas,
Percentage,Procentas,
Phone,telefonas,
Phone Number,Telefono numeris,
Planning,Planavimas,
Portal,portalas,
Posting Date,Išsiuntimo data,
Priority,Prioritetas,
Progress,Progresas,
Purchase,pirkti,
Purchase Date,Pirkimo data,
Purchase Order,Pirkimo užsąkymas,
Purchase Receipt,pirkimo kvito,
Qty,Kiekis,
Quantity,Kiekis,
Rate,Kaina,
Rating,Reitingas,
Read Only,Tik skaitymui,
Reason,priežastis,
Received,gavo,
Reference,Nuoroda,
Reference DocType,Nuoroda „DocType“,
Reference Doctype,nuoroda dokumentų tipas,
Reference Name,Nuorodos pavadinimas,
Rejected,Atstumtas,
Reload,Perkrauti,
Remarks,Pastabos,
Reopen,atnaujinti,
Resolve,Išspręsti,
Resolved,Išspręsta,
Restore,Atkurti,
Rounded Total,Suapvalinta bendra suma,
SMS,trumpoji žinutė,
Sales,pardavimų,
Sales Manager,Pardavimų vadybininkas,
Sales User,pardavimų Vartotojas,
Scheduled,planuojama,
Scheduled Date,Numatoma data,
Section,Skyrius,
Selling Price List,Pardavimo kainoraštis,
Serial No,Serijos Nr,
Session Defaults,Sesijos numatytieji nustatymai,
Setup,Sąranka,
Shipping,gabenimas,
Signature,Parašas,
Signed,Pasirašyta,
Signed On,Prisijungta,
Small Text,Smulkus šriftas,
Sold,Parduota,
Source DocType,Šaltinis DocType,
Source Warehouse,šaltinis sandėlis,
Standard,standartas,
Start,pradžia,
Status,Statusas,
Stock Entry,Atsargos,
Stock UOM,akcijų UOM,
Student,Studentas,
Subject,Tema,
Submit,Pateikti,
Submitted,pateikė,
Subtotal,Tarpinė suma,
Suspended,Sustabdyta,
System Manager,sistemos direktorius,
Task,Užduotis,
Task Description,Užduoties aprašymas,
Task Name,užduotis Vardas,
Task Type,Užduoties tipas,
Tasks,Užduotys,
Template Name,šablono pavadinimas,
Terms,sąlygos,
Text,tekstas,
Timestamp,timestamp,
Title,Pavadinimas,
To Date,data,
Tools,Įrankiai,
Total Cost,Iš viso išlaidų,
Totals,sumos,
Type,tipas,
UOM,UOM,
Unit,Vienetas,
Unknown,nežinomas,
Unverified,Nepatikrinta,
Urgent,skubus,
Valid From,Galioja nuo,
Valid Till,Galioja iki,
Valid Upto,Galioja iki,
Valuation Rate,Vertinimo Balsuok,
Value,Vertė,
Verification,Patikrinimas,
Verified By,Patvirtinta,
Version,versija,
View Website,Peržiūrėti svetainė,
Warehouse,sandėlis,
Warranty,Garantija,
Workflow State,eigos būseną,
Working,darbo,
