API,API,
Accepted,Lubatud,
Action,Action,
Actions,Actions,
Active,Aktiivne,
Actual Cost,Tegelik maksumus,
Actual End Date,Tegelik End Date,
Actual Start Date,Tegelik Start Date,
All,Kõik,
Amended From,Muudetud From,
Amount,Summa,
Approved,Kinnitatud,
Archive,Arhiiv,
Archived,arhiveeritud,
Assigned To,Määratud,
Attachments,Manused,
Available,Saadaval,
Both,Mõlemad,
Brand,Põletusmärk,
Buying Price List,Ostute hinnakiri,
CRM,CRM,
Canceled,Tühistatud,
Cancelled,Tühistatud,
Category,Kategooria,
Category Name,Kategooria nimi,
Check,Kontrollima,
Client,Klient,
Close,Lähedane,
Closed,Suletud,
Color,Värvus,
Comment,Kommenteeri,
Comments,Kommentaarid,
Company,Ettevõte,
Complete,Täielik,
Completed,Valminud,
Component,komponent,
Condition,Seisund,
Contact,Kontakt,
Contact Email,Kontakt E-,
Contact Phone,Kontakttelefon,
Conversion Rate,tulosmuuntokertoimella,
Create,Loo,
Created On,Loodud,
Currency,Valuuta,
Current Status,Praegune seis,
Custom,Tava,
Customer,Klienditeenindus,
Customer ID,Kliendi ID,
Customer Name,Kliendi nimi,
Customer Type,Kliendi tüüp,
Data,Andmed,
Date,Kuupäev,
Default,Vaikimisi,
Default Item Group,Vaikimisi Punkt Group,
Default Priority,Vaikimisi prioriteet,
Default Value,Vaikimisi väärtus,
Defaults,Vaikeväärtused,
Delayed,Hilinenud,
Delivered,Tarnitakse,
Depends On,Oleneb,
Description,Kirjeldus,
Desk,Kirjutuslaud,
Discount (%),Allahindlus (%),
Discount Amount,Soodus summa,
Discount Type,Soodustuse tüüp,
Display,Display,
Document Name,Dokumendi nimi,
Document Type,Dokumendi liik,
Draft,Mustand,
Due Date,Tähtaeg,
Duration,Kestus,
Email,E-kiri,
Email Address,E-posti aadress,
Error,Eksimus,
Estimated Cost,Hinnanguline maksumus,
Expected End Date,Oodatud End Date,
Expected Start Date,Oodatud Start Date,
Expired,Aegunud,
Failed,Ebaõnnestunud,
Field Type,Field Type,
First Name,Eesnimi,
Float,Float,
From Date,Siit kuupäev,
Full Name,Täisnimi,
Grand Total,Üldtulemus,
High,Kõrgel,
Hold,Hoia,
Hours,Tundi,
Idx,IDX,
Images,images,
In Progress,In Progress,
In Transit,Teel,
Inactive,Mitteaktiivne,
Inspected By,Kontrollima,
Inspection Type,Ülevaatus Type,
Int,Int,
Inventory,Inventory,
Is Active,Kas Active,
Is Group,On Group,
Issue,Probleem,
Issued,Emiteeritud,
Item,Kirje,
Item Code,Tootekood,
Item Name,Asja nimi,
Items,Esemed,
Key,Klahv,
Keyboard Shortcuts,Klaviatuuri otseteed,
Lab Technician,Laboritehnik,
Last Active,Viimati aktiivne,
Last Name,Perekonnanimi,
Location,Asukoht,
Logs,Palgid,
