API,API,
Accepted,Pieņemts,
Accounts User,Konti lietotāju,
Action,Darbība,
Actions,Darbības,
Active,Aktīvs,
Actual Cost,Faktiskās izmaksas,
Actual End Date,Faktiskais beigu datums,
Actual Start Date,Faktiskais sākuma datums,
All,Visi,
Amended From,Grozīts No,
Amount,Summa,
Approved,Apstiprināts,
Archive,Arhīvs,
Archived,Arhivētas,
Assigned To,Norīkoti,
Attachments,Pielikumi,
Available,Pieejams,
Brand,Brand,
Buying Price List,Pircēju cenu saraksts,
Cancel,Atcelt,
Canceled,Atcelts,
Cancelled,Atcelts,
Category,Kategorija,
Category Name,Kategorija Name,
Check,Pārbaudiet,
Client,Klients,
Close,Aizvērt,
Closed,Slēgts,
Color,Krāsa,
Comment,Komentārs,
Comments,Komentāri,
Company,Kompānija,
Complete,Pilnīgs,
Completed,Pabeigts,
Component,komponents,
Condition,Nosacījums,
Contact,Kontakts,
Contact Email,Kontaktpersonas e-pasta,
Contact Phone,Kontakttālrunis,
Conversion Rate,Conversion Rate,
Created On,Izveidots On,
Currency,Valūta,
Current Status,Pašreizējais statuss,
Custom,Paraža,
Customer,Klients,
Customer ID,Klienta ID,
Customer Name,Klienta vārds,
Customer Type,Klienta veids,
Data,Dati,
Date,Datums,
Default,Pēc noklusējuma,
Default Company,Noklusējuma uzņēmums,
Default Item Group,Default Prece Group,
Default Priority,Noklusējuma prioritāte,
Default Source Warehouse,Default Source Noliktava,
Default Value,Default Value,
Defaults,Noklusējumi,
Delayed,Kavējas,
Delivered,Pasludināts,
Depends On,Atkarīgs On,
Description,Apraksts,
Desk,Rakstāmgalds,
Discount (%),Atlaide (%),
Discount Amount,Atlaide Summa,
Discount Type,Atlaides veids,
Document Name,Dokumenta nosaukums,
Document Type,Dokumenta tips,
Draft,Projekts,
Due Date,Due Date,
Email,E-pasts,
Email Address,Epasta adrese,
Enabled,Enabled,
Error,Kļūda,
Estimated Cost,Paredzamās izmaksas,
Expected End Date,"Paredzams, beigu datums",
Expected Start Date,"Paredzams, sākuma datums",
Expired,Beidzies,
Failed,Neizdevās,
Field Type,Lauks Type,
First Name,Vārds,
Float,Peldēt,
From Date,No Datums,
Full Name,Pilns nosaukums,
Grand Total,Pavisam kopā,
Hidden,slēpta,
High,Augsts,
Hold,Turēt,
Hours,Stundas,
Idx,IDX,
In List View,List View,
In Progress,Gaitā,
In Transit,Tranzītā,
Inactive,Neaktīvs,
Inspected By,Pārbaudīti Līdz,
Inspection Type,Inspekcija Type,
Int,Int,
Inventory,Inventārs,
Is Active,Vai Active,
Is Group,Is Group,
Issue,Izdevums,
Issued,Izdots,
Item,Prece,
Item Code,Postenis Code,
Item Name,Priekšmeta nosaukums,
Items,Preces,
Key,Taustiņš,
Keyboard Shortcuts,Tastatūras īsceļi,
Lab Technician,Lab tehniķis,
Last Active,Last Active,
Last Name,Uzvārds,
Location,Vieta,
Logs,Logs,
Lost,Zaudējis,
Low,Zems,
Maintenance,Uzturēšana,
Manufacturer,Ražotājs,
Mappings,Plakāti,
Medium,Medijs,
Method,Metode,
Model,Modelis,
Modified By,grozīta ar,
Name,Nosaukums,
Naming Series,Nosaucot Series,
New,Jauns,
Notes,Piezīmes,
On Hold,Uzturēts,
Open,Atvērts,
Operation,Operācija,
Other,Cits,
Overdue,Nokavēts,
Owner,Īpašnieks,
Parameter,Parametrs,
Parent Task,Mātes uzdevums,
Passed,Izturēts,
Pending,Līdz,
Pending Review,Kamēr apskats,
Percent Complete,Procenti pabeigts,
Percentage,procentuālā attiecība,
Phone,Telefons,
Phone Number,Telefona numurs,
Planning,Plānošana,
Portal,Portāls,
Posting Date,Norīkošanu Datums,
Priority,Prioritāte,
Progress,progress,
Purchase,Pirkums,
Purchase Date,Pirkuma datums,
Purchase Order,Pirkuma pasūtījums,
Purchase Receipt,Pirkuma čeka,
Qty,Daudz,
Quantity,Daudzums,
Rate,Likme,
Rating,novērtējums,
Read Only,Tikai lasāms,
Reason,Iemesls,
Received,Saņemti,
Reference,Atsauces,
Reference DocType,Atsauce DocType,
Reference Doctype,Atsauce DOCTYPE,
Reference Name,Atsauces nosaukums,
Rejected,Noraidīts,
Reload,Pārlādēt,
Remarks,Piezīmes,
Reopen,Atjaunot,
Resolve,Atrisiniet,
Resolved,Atrisināts,
Restore,Atjaunot,
Rounded Total,Noapaļota Kopā,
SMS,īsziņa,
Sales,Pārdevums,
Sales Manager,Pārdošanas vadītājs,
Sales User,Sales User,
Scheduled,Plānotais,
Scheduled Date,Plānotais datums,
Section,Iedaļa,
Selling Price List,Pārdošanas cenrādis,
Serial No,Sērijas Nr,
Session Defaults,Sesijas noklusējumi,
Setup,Setup,
Shipping,Piegāde,
Signature,Paraksts,
Signed,Parakstīts,
Signed On,Parakstīts,
Small Text,Small Teksta,
Sold,Pārdots,
Source DocType,Avots DocType,
Source Warehouse,Source Noliktava,
Standard,Standarts,
Start,Sākums,
Status,Stāvoklis,
Stock Entry,Stock Entry,
Stock UOM,Krājumu Mērvienība,
Student,Students,
Subject,Pakļauts,
Submit,Iesniegt,
Submitted,Iesniegtie,
Subtotal,Starpsumma,
Suspended,Apturēts,
System Manager,System Manager,
Task,Uzdevums,
Task Description,Uzdevuma apraksts,
Task Name,Uzdevums Name,
Task Type,Uzdevuma tips,
Tasks,Uzdevumi,
Template Name,Veidnes nosaukums,
Terms,Noteikumi,
Text,Teksts,
Timestamp,Timestamp,
Title,Virsraksts,
To Date,Līdz šim,
Tools,Darbarīki,
Total Cost,Kopējās izmaksas,
Totals,Kopsummas,
Type,Tips,
UOM,UOM,
Unit,Vienība,
Unknown,Nezināms,
Unverified,Nepārbaudīts,
Urgent,Steidzams,
Valid From,Derīgs no,
Valid Till,Derīgs līdz,
Valid Upto,Derīgs līdz,
Valuation Rate,Vērtēšanas Rate,
Value,Vērtība,
Verification,Pārbaude,
Verified By,Verified by,
Version,Versija,
View Website,Skatīt Website,
Warehouse,Noliktava,
Warranty,Garantija,
Workflow State,Workflow Valsts,
Working,Darba,
