API,API,
Accepted,Pranuar,
Accounts User,Llogaritë përdoruesin,
Action,Veprim,
Actions,Veprimet,
Active,Aktiv,
Actual Cost,Kostoja aktuale,
Actual End Date,Aktuale End Date,
Actual Start Date,Aktuale Data e Fillimit,
All,ALL,
Amended From,Ndryshuar Nga,
Amount,Sasi,
Approved,I miratuar,
Archive,Arkivi,
Archived,Arkivuar,
Assigned To,Caktuar për,
Attachments,Attachments,
Available,në dispozicion,
Brand,markë,
Buying Price List,Lista e Çmimeve të Blerjes,
Cancel,Anuloj,
Canceled,anuluar,
Cancelled,ANULOHET,
Category,Kategori,
Category Name,Kategoria Emri,
Check,kontrolloni,
Client,Klient,
Close,Afër,
Closed,Mbyllur,
Color,Ngjyrë,
Comment,koment,
Comments,Komente,
Company,Kompani,
Complete,I plotë,
Completed,I përfunduar,
Component,komponent,
Condition,Kusht,
Contact,Kontakt,
Contact Email,Kontakti Email,
Contact Phone,Telefon kontakti,
Conversion Rate,Shkalla e konvertimit,
Created On,Krijuar Nga,
Currency,Monedhë,
Current Status,Statusi aktual,
Custom,Me porosi,
Customer,klient,
Customer ID,Numri i identifikimit të konsumatorit,
Customer Name,Emri i Klientit,
Customer Type,Tipi i Klientit,
Data,Të dhëna,
Date,Data,
Default,Mospagim,
Default Company,Gabim i kompanisë,
Default Item Group,Gabim Item Grupi,
Default Priority,Prioriteti i paracaktuar,
Default Source Warehouse,Gabim Burimi Magazina,
Default Value,Vlera e albumit,
Defaults,Defaults,
Delayed,I vonuar,
Delivered,dorëzuar,
Depends On,Varet nga,
Description,Përshkrim,
Desk,Tavolinë,
Discount (%),Ulje (%),
Discount Amount,Shuma Discount,
Discount Type,Lloji i zbritjes,
Document Name,Dokumenti Emri,
Document Type,Dokumenti Type,
Draft,draft,
Due Date,Për shkak Date,
Email,Email,
Email Address,Adresa e postës elektronike,
Enabled,Aktivizuar,
Error,Gabim,
Estimated Cost,Kostoja e vlerësuar,
Expected End Date,Pritet Data e Përfundimit,
Expected Start Date,Pritet Data e Fillimit,
Expired,Skaduar,
Failed,I dështuar,
Field Type,Fusha Type,
First Name,Emri,
Float,Nxjerr në shitje,
From Date,Nga Data,
Full Name,Emri i plotë,
Grand Total,Grand Total,
Hidden,I fshehur,
High,I lartë,
Hold,mbaj,
Hours,orë,
Idx,IDX,
In List View,Në Shiko listen,
In Progress,Në progres,
In Transit,Në tranzit,
Inactive,joaktiv,
Inspected By,Inspektohen nga,
Inspection Type,Inspektimi Type,
Int,Int,
Inventory,inventar,
Is Active,Është Aktiv,
Is Group,Është grup,
Issue,Çështje,
Issued,Lëshuar,
Item,artikull,
Item Code,Kodi i artikullit,
Item Name,Emri i artikullit,
Items,artikuj,
Key,Kyç,
Keyboard Shortcuts,Shkurtoret e tastierës,
Lab Technician,Teknik i laboratorit,
Last Active,Aktiviteti i Fundit,
Last Name,Mbiemër,
Location,Vend,
Logs,Shkrime,
Lost,i humbur,
Low,Ulët,
Maintenance,mirëmbajtje,
Manufacturer,prodhues,
Mappings,mappings,
Medium,Medium,
Method,Metodë,
Model,model,
Modified By,modifikuar nga,
Name,Emër,
Naming Series,Emërtimi Series,
New,I ri,
Notes,Shënime,
On Hold,Ne pritje,
Open,hapur,
Operation,Operacion,
Other,Tjetër,
Overdue,i vonuar,
Owner,Pronar,
Parameter,Parametër,
Parent Task,Detyra e Prindit,
Passed,Kaloi,
Pending,Në pritje të,
Pending Review,Në pritje Rishikimi,
Percent Complete,Përqindja e plotë,
Percentage,përqindje,
Phone,Telefon,
Phone Number,Numri i telefonit,
Planning,planifikim,
Portal,Portal,
Posting Date,Posting Data,
Priority,Prioritet,
Progress,progres,
Purchase,blerje,
Purchase Date,Blerje Date,
Purchase Order,Rendit Blerje,
Purchase Receipt,Pranimi Blerje,
Qty,Qty,
Quantity,sasi,
Rate,normë,
Rating,vlerësim,
Read Only,Lexoni Vetëm,
Reason,Arsye,
Received,marrë,
Reference,Referim,
Reference DocType,Doktipi i referencës,
Reference Doctype,DOCTYPE Referenca,
Reference Name,Emri i Referencës,
Rejected,Refuzuar,
Reload,Rifresko,
Remarks,Vërejtje,
Reopen,Rihap,
Resolve,Zgjidh,
Resolved,Zgjidhet,
Restore,kthej,
Rounded Total,Rrumbullakuar Total,
SMS,SMS,
Sales,Shitjet,
Sales Manager,Sales Manager,
Sales User,Sales i përdoruesit,
Scheduled,Planifikuar,
Scheduled Date,Data e planifikuar,
Section,Seksioni,
