API,API,
Accepted,Geaccepteerd,
Accounts User,Gebruikersaccounts,
Action,Actie,
Actions,Acties,
Active,Actief,
Actual Cost,Werkelijke kosten,
Actual End Date,Werkelijke Einddatum,
Actual Start Date,Werkelijke Startdatum,
All,Allemaal,
Amended From,Gewijzigd Van,
Amount,Bedrag,
Approved,Aangenomen,
Archive,Archief,
Archived,Gearchiveerd,
Assigned To,Toegewezen Aan,
Attachments,Toebehoren,
Available,Beschikbaar,
Brand,Merk,
Buying Price List,Prijslijst kopen,
Cancel,Annuleren,
Canceled,Geannuleerd,
Cancelled,Geannuleerd,
Category,Categorie,
Category Name,Categorienaam,
Check,Controleren,
Client,Klant,
Close,Dichtbij,
Closed,Gesloten,
Color,Kleur,
Comment,Commentaar,
Comments,Reacties,
Company,Bedrijf,
Complete,Voltooien,
Completed,Voltooid,
Component,bestanddeel,
Condition,Voorwaarde,
Contact,Contact,
Contact Email,Contact E-mail,
Contact Phone,Contact telefoon,
Conversion Rate,Conversion Rate,
Created On,Gemaakt op,
Currency,Valuta,
Current Status,Actuele status,
Custom,Aangepast,
Customer,Klant,
Customer ID,Klanten ID,
Customer Name,klantnaam,
Customer Type,klant type,
Data,Data,
Date,Datum,
Default,Standaard,
Default Company,Standaard Bedrijf,
Default Item Group,Standaard Artikelgroep,
Default Priority,Standaard prioriteit,
Default Source Warehouse,Standaard Bronmagazijn,
Default Value,Standaardwaarde,
Defaults,Standaardwaarden,
Delayed,Vertraagd,
Delivered,Geleverd,
Depends On,Hangt af van,
Description,Beschrijving,
Desk,Bureau,
Discount (%),Korting (%),
Discount Amount,Korting Bedrag,
Discount Type,Kortingstype,
Document Name,Documentnaam,
Document Type,Soort document,
Draft,Concept,
Due Date,Vervaldatum,
Email,E-mail,
Email Address,E-mailadres,
Enabled,Ingeschakeld,
Error,Fout,
Estimated Cost,Geschatte kosten,
Expected End Date,Verwachte einddatum,
Expected Start Date,Verwachte startdatum,
Expired,Verlopen,
Failed,Gefaald,
Field Type,Veldtype,
First Name,Voornaam,
Float,Zweven,
From Date,Van Datum,
Full Name,Volledige naam,
Grand Total,Algemeen totaal,
Hidden,Verborgen,
High,Hoog,
Hold,Houden,
Hours,uren,
Idx,idx,
In List View,In lijstweergave,
In Progress,Bezig,
In Transit,Onderweg,
Inactive,Inactief,
Inspected By,Geïnspecteerd door,
Inspection Type,Inspectie Type,
Int,Int,
Inventory,Voorraad,
Is Active,Is actief,
Is Group,Is Group,
Issue,Kwestie,
Issued,Uitgegeven,
Item,Artikel,
Item Code,Artikelcode,
Item Name,Itemnaam,
Items,Artikelen,
Key,Sleutel,
Keyboard Shortcuts,Toetsenbord sneltoetsen,
Lab Technician,Laboratorium technicus,
Last Active,Laatst actief,
Last Name,Achternaam,
Location,Locatie,
Logs,Logs,
Lost,Verloren,
Low,Laag,
Maintenance,Onderhoud,
Manufacturer,Fabrikant,
Mappings,mappings,
Medium,Medium,
Method,Methode,
Model,Model,
Modified By,Aangepast door,
Name,Naam,
Naming Series,Benoemen Series,
New,Nieuw,
Notes,Opmerkingen,
On Hold,In de wacht,
Open,Open,
Operation,Operatie,
Other,Ander,
Overdue,Achterstallig,
Owner,eigenaar,
Parameter,Parameter,
Parent Task,Oudertaak,
Passed,Geslaagd,
Pending,In afwachting van,
Pending Review,In afwachting van beoordeling,
Percent Complete,Percentage compleet,
Percentage,Percentage,
Phone,Telefoon,
Phone Number,Telefoonnummer,
Planning,Planning,
Portal,Portaal,
Posting Date,Plaatsingsdatum,
Priority,Prioriteit,
Progress,Vooruitgang,
Purchase,Inkopen,
Purchase Date,aankoopdatum,
Purchase Order,Inkooporder,
Purchase Receipt,Ontvangstbevestiging,
Qty,Aantal,
Quantity,Hoeveelheid,
Rate,tarief,
Rating,Beoordeling,
Read Only,Alleen lezen,
Reason,Reden,
Received,ontvangen,
Reference,Referentie,
Reference DocType,Referentie DocType,
Reference Doctype,Referentie Doctype,
Reference Name,Referentienaam,
Rejected,Afgewezen,
Reload,Herladen,
Remarks,Opmerkingen,
Reopen,heropenen,
Resolve,Oplossen,
Resolved,Opgelost,
Restore,Herstellen,
Rounded Total,Afgerond Totaal,
SMS,sms,
Sales,verkoop,
Sales Manager,Verkoopsmanager,
Sales User,Sales Gebruiker,
Scheduled,Geplande,
Scheduled Date,Geplande Datum,
Section,Sectie,
Selling Price List,Verkoopprijslijst,
Serial No,Serienummer,
Session Defaults,Standaardwaarden sessie,
Setup,Instellingen,
Shipping,Logistiek,
Signature,Handtekening,
Signed,Getekend,
Signed On,Aangemeld,
Small Text,Kleine tekst,
Sold,uitverkocht,
Source DocType,Bron DocType,
Source Warehouse,Bron Magazijn,
Standard,Standaard,
Start,Start,
Status,Status,
Stock Entry,Voorraadtransactie,
Stock UOM,Voorraad Eenheid,
Student,Student,
Subject,Onderwerp,
Submit,Indienen,
Submitted,Ingediend,
Subtotal,Subtotaal,
Suspended,Geschorst,
System Manager,System Manager,
Task,Taak,
Task Description,Taakomschrijving,
Task Name,Taaknaam,
Task Type,Taaktype,
Tasks,taken,
Template Name,Sjabloonnaam,
Terms,Voorwaarden,
Text,Tekst,
Timestamp,Timestamp,
Title,Titel,
To Date,Tot Datum,
Tools,Tools,
Total Cost,Totale kosten,
Totals,Totalen,
Type,Type,
UOM,UOM,
Unit,Eenheid,
Unknown,Onbekend,
Unverified,geverifieerde,
Urgent,Dringend,
Valid From,Geldig vanaf,
Valid Till,Geldig tot,
Valid Upto,Geldig tot,
Valuation Rate,Waardering Tarief,
Value,Waarde,
Verification,Verificatie,
Verified By,Geverifieerd door,
Version,Versie,
View Website,Bekijk Website,
Warehouse,Magazijn,
